year,northwest_europe_usd_tonne,us_appalachian_usd_tonne,japan_steam_cif_usd_tonne,china_qinhuangdao_usd_tonne,japan_coking_cif_usd_tonne
1987,31.3,,,,53.4392
1988,39.94,,,,55.0642
1989,42.08,,,,58.6842
1990,43.48,31.5919,,,60.5367
1991,42.8,29.0105,,,60.45
1992,38.53,28.5345,,,57.8158
1993,33.68,29.854,,,55.2583
1994,37.18,31.7162,,,51.765
1995,44.5,27.0064,,,54.4683
1996,41.25,29.8623,,,56.6792
1997,38.92,29.76,,,55.51
1998,32,31.0031,,,50.7567
1999,28.79,31.2943,,,42.8308
2000,35.99,29.9045,,27.5211,39.6942
2001,39.0342,50.1547,37.6899,31.784,41.3292
2002,31.6496,33.198,31.4747,33.1949,42.0133
2003,43.5979,38.5227,39.6126,31.7444,41.57
2004,72.1343,64.9017,74.2158,42.7605,60.96
2005,60.5392,70.1224,64.6231,51.3415,89.33
2006,64.1081,57.8167,65.2175,53.5262,93.4625
2007,88.7852,49.7332,95.586,61.2278,88.2425
2008,147.6737,117.4176,157.8775,104.9722,179.0267
2009,70.3888,60.7346,83.5867,87.8617,167.8225
2010,92.3525,67.8741,108.4653,110.0792,158.9458
2011,121.48,84.755,126.1308,127.2684,229.1233
2012,92.4996,67.2814,100.2983,111.8897,191.4642
2013,81.689,69.7172,90.065,95.4186,140.4467
2014,75.3808,67.0841,76.13,84.1164,114.4133
2015,56.794,51.5664,60.0959,67.5319,93.845
2016,59.8691,51.4477,71.658,71.3489,89.3983
2017,84.5104,63.8253,95.5655,94.7235,150.0025
2018,91.8271,72.844,112.7333,99.4468,158.4925
2019,60.8552,57.164,77.6281,85.8911,148.5183
