year,lng_japan_cif_usd_mmbtu,jkm_usd_mmbtu,german_import_usd_mmbtu,uk_nbp_usd_mmbtu,netherlands_ttf_usd_mmbtu,henry_hub_usd_mmbtu
1984,5.1,,3.9956,,,
1985,5.2347,,4.2536,,,
1986,4.102,,3.9286,,,
1987,3.3526,,2.5475,,,
1988,3.3441,,2.2204,,,
1989,3.2792,,2.0005,,,1.6967
1990,3.6446,,2.7759,,,1.6383
1991,3.9859,,3.2333,,,1.4867
1992,3.6226,,2.6987,,,1.7717
1993,3.522,,2.5114,,,2.1208
1994,3.1799,,2.3505,,,1.92
1995,3.4613,,2.4302,,,1.6867
1996,3.6632,,2.4968,1.866,,2.7567
1997,3.9063,,2.6648,1.9569,,2.525
1998,3.0497,,2.3306,1.8649,,2.0842
1999,3.1374,,1.8628,1.5791,,2.2658
2000,4.7233,,2.9103,2.7108,,4.2258
2001,4.6377,,3.6671,3.1746,,4.0683
2002,4.2734,,3.2122,2.3726,,3.3308
2003,4.7692,,4.0632,3.3315,,5.625
2004,5.182,,4.3019,4.4572,,5.8492
2005,6.0477,,5.8303,7.3831,6.0744,8.7858
2006,7.1383,,7.8743,7.8721,7.4575,6.7642
2007,7.7301,,7.994,6.0064,5.9339,6.95
2008,12.5483,,11.6005,10.7927,10.6574,8.8492
2009,9.0581,5.2754,8.5314,4.85,4.9597,3.8933
2010,10.9094,7.7206,8.031,6.5561,6.7694,4.3888
2011,14.7293,14.02,10.4913,9.0425,9.2593,4.009
2012,16.7482,15.116,10.9255,9.4645,9.4481,2.7554
2013,16.1694,16.5568,10.7263,10.6384,9.7541,3.7073
2014,16.3293,13.8564,9.1148,8.2533,8.1437,4.3477
2015,10.3054,7.4499,6.7191,6.5261,6.437,2.6037
2016,6.9369,5.7229,4.9313,4.6902,4.5397,2.4618
2017,8.0951,7.1289,5.6182,5.8048,5.7211,2.9567
2018,10.0492,9.76,6.6227,8.0611,7.9024,3.1262
2019,9.9447,5.4941,5.253,4.4669,4.4478,2.5289
